aro_accession	gene_name	card_short_name	gene_family	resistance_mechanism	drug_class_raw	canonical_class
ARO:3005335	OXA-496	OXA-496	OXA beta-lactamase;OXA-134-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005728	OXA-497	OXA-497	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005728	OXA-497	OXA-497	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005729	OXA-498	OXA-498	OXA beta-lactamase;OXA-211-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005729	OXA-498	OXA-498	OXA beta-lactamase;OXA-211-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005343	OXA-499	OXA-499	OXA beta-lactamase;OXA-143-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005343	OXA-499	OXA-499	OXA beta-lactamase;OXA-143-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001400	OXA-5	OXA-5	OXA beta-lactamase;OXA-5-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001796	OXA-50	OXA-50	OXA beta-lactamase;OXA-50-like beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3001796	OXA-50	OXA-50	OXA beta-lactamase;OXA-50-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005730	OXA-500	OXA-500	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005730	OXA-500	OXA-500	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005731	OXA-501	OXA-501	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005731	OXA-501	OXA-501	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005732	OXA-502	OXA-502	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3005732	OXA-502	OXA-502	OXA beta-lactamase;OXA-213-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
