canonical_drug	drug_aro_accession	canonical_class	class_aro_accession	source
moxifloxacin	ARO:0000074	fluoroquinolone antibiotic	ARO:0000001	aro_obo
nalidixic acid	ARO:3000661	fluoroquinolone antibiotic	ARO:0000001	aro_obo
nemonoxacin	ARO:3004733	fluoroquinolone antibiotic	ARO:0000001	aro_obo
norfloxacin	ARO:3000662	fluoroquinolone antibiotic	ARO:0000001	aro_obo
ofloxacin	ARO:3000663	fluoroquinolone antibiotic	ARO:0000001	aro_obo
pefloxacin	ARO:3000762	fluoroquinolone antibiotic	ARO:0000001	aro_obo
prulifloxacin	ARO:3007022	fluoroquinolone antibiotic	ARO:0000001	aro_obo
sarafloxacin	ARO:3007611	fluoroquinolone antibiotic	ARO:0000001	aro_obo
sitafloxacin	ARO:3003690	fluoroquinolone antibiotic	ARO:0000001	aro_obo
sparfloxacin	ARO:3000666	fluoroquinolone antibiotic	ARO:0000001	aro_obo
tosufloxacin	ARO:3004499	fluoroquinolone antibiotic	ARO:0000001	aro_obo
trovafloxacin	ARO:3000664	fluoroquinolone antibiotic	ARO:0000001	aro_obo
zabofloxacin	ARO:3004731	fluoroquinolone antibiotic	ARO:0000001	aro_obo
fusidic acid	ARO:3000759	fusidane antibiotic	ARO:3007153	aro_obo
antibiotic a40926	ARO:3000525	glycopeptide antibiotic	ARO:3000081	aro_obo
antibiotic a47934	ARO:3000117	glycopeptide antibiotic	ARO:3000081	aro_obo
avoparcin	ARO:3000767	glycopeptide antibiotic	ARO:3000081	aro_obo
balhimycin	ARO:3000120	glycopeptide antibiotic	ARO:3000081	aro_obo
cbp c1-aminomethylene vancomycin	ARO:3004120	glycopeptide antibiotic	ARO:3000081	aro_obo
chloroeremomycin	ARO:3000184	glycopeptide antibiotic	ARO:3000081	aro_obo
complestatin	ARO:3005070	glycopeptide antibiotic	ARO:3000081	aro_obo
corbomycin	ARO:3005071	glycopeptide antibiotic	ARO:3000081	aro_obo
dalbavancin	ARO:3000466	glycopeptide antibiotic	ARO:3000081	aro_obo
eremomycin pyrrolidide	ARO:3004477	glycopeptide antibiotic	ARO:3000081	aro_obo
norvancomycin	ARO:3007525	glycopeptide antibiotic	ARO:3000081	aro_obo
oritavancin	ARO:3000189	glycopeptide antibiotic	ARO:3000081	aro_obo
ristocetin	ARO:3000022	glycopeptide antibiotic	ARO:3000081	aro_obo
teicoplanin	ARO:0000029	glycopeptide antibiotic	ARO:3000081	aro_obo
telavancin	ARO:3000488	glycopeptide antibiotic	ARO:3000081	aro_obo
vancomycin	ARO:0000028	glycopeptide antibiotic	ARO:3000081	aro_obo
tigecycline	ARO:0000030	glycylcycline	ARO:0000042	aro_obo
calcimycin	ARO:3007755	ionophore with antibiotic activity		aro_obo
cezomycin	ARO:3007769	ionophore with antibiotic activity		aro_obo
monensin	ARO:3007484	ionophore with antibiotic activity		aro_obo
narasin	ARO:3007471	ionophore with antibiotic activity		aro_obo
nigericin	ARO:3007485	ionophore with antibiotic activity		aro_obo
pyrrolomycin a	ARO:3007616	ionophore with antibiotic activity		aro_obo
pyrrolomycin antibiotic	ARO:3007615	ionophore with antibiotic activity		aro_obo
pyrrolomycin b	ARO:3007617	ionophore with antibiotic activity		aro_obo
pyrrolomycin c	ARO:3007618	ionophore with antibiotic activity		aro_obo
pyrrolomycin d	ARO:3007619	ionophore with antibiotic activity		aro_obo
pyrrolomycin e	ARO:3007620	ionophore with antibiotic activity		aro_obo
pyrrolomycin f	ARO:3007621	ionophore with antibiotic activity		aro_obo
pyrrolomycin f2a	ARO:3007622	ionophore with antibiotic activity		aro_obo
pyrrolomycin f2b	ARO:3007623	ionophore with antibiotic activity		aro_obo
pyrrolomycin f3	ARO:3007626	ionophore with antibiotic activity		aro_obo
pyrrolomycin g	ARO:3007624	ionophore with antibiotic activity		aro_obo
pyrrolomycin h	ARO:3007625	ionophore with antibiotic activity		aro_obo
pyrrolomycin i	ARO:3007627	ionophore with antibiotic activity		aro_obo
pyrrolomycin j	ARO:3007628	ionophore with antibiotic activity		aro_obo
salinomycin	ARO:3007547	ionophore with antibiotic activity		aro_obo
tetronomycin	ARO:3007768	ionophore with antibiotic activity		aro_obo
valinomycin	ARO:3007772	ionophore with antibiotic activity		aro_obo
isoniazid	ARO:3000520	isonicotinic acid hydrazide	ARO:3007152	aro_obo
celesticetin	ARO:3001231	lincosamide antibiotic	ARO:0000017	aro_obo
clindamycin	ARO:0000066	lincosamide antibiotic	ARO:0000017	aro_obo
iboxamycin	ARO:3007636	lincosamide antibiotic	ARO:0000017	aro_obo
lincomycin	ARO:0000046	lincosamide antibiotic	ARO:0000017	aro_obo
pirlimycin	ARO:3007169	lincosamide antibiotic	ARO:0000017	aro_obo
arylomycin	ARO:3000685	lipopeptide antibiotic		aro_obo
battacin	ARO:3003822	lipopeptide antibiotic		aro_obo
cadaside a	ARO:3007630	lipopeptide antibiotic		aro_obo
cadaside antibiotic	ARO:3007629	lipopeptide antibiotic		aro_obo
cadaside b	ARO:3007631	lipopeptide antibiotic		aro_obo
colistin	ARO:0000067	lipopeptide antibiotic		aro_obo
colistin a	ARO:3000622	lipopeptide antibiotic		aro_obo
colistin b	ARO:3000624	lipopeptide antibiotic		aro_obo
daptomycin	ARO:0000068	lipopeptide antibiotic		aro_obo
fengycin	ARO:3007758	lipopeptide antibiotic		aro_obo
malacidin a	ARO:3004374	lipopeptide antibiotic		aro_obo
polymyxin antibiotic	ARO:0000022	lipopeptide antibiotic		aro_obo
polymyxin b	ARO:3000454	lipopeptide antibiotic		aro_obo
polymyxin b1	ARO:3000625	lipopeptide antibiotic		aro_obo
polymyxin b2	ARO:3000626	lipopeptide antibiotic		aro_obo
polymyxin b3	ARO:3000627	lipopeptide antibiotic		aro_obo
polymyxin b4	ARO:3000628	lipopeptide antibiotic		aro_obo
ramoplanin	ARO:3004567	lipopeptide antibiotic		aro_obo
fidaxomicin	ARO:3001319	macrocyclic antibiotic		aro_obo
selamectin	ARO:3007689	macrocyclic antibiotic		aro_obo
aplasmomycin	ARO:3007792	macrolide antibiotic	ARO:0000000	aro_obo
azalomycin f	ARO:3007795	macrolide antibiotic	ARO:0000000	aro_obo
azithromycin	ARO:3000158	macrolide antibiotic	ARO:0000000	aro_obo
boromycin	ARO:3007793	macrolide antibiotic	ARO:0000000	aro_obo
brefeldin a	ARO:3009176	macrolide antibiotic	ARO:0000000	aro_obo
carbomycin	ARO:3001228	macrolide antibiotic	ARO:0000000	aro_obo
carrimycin	ARO:3007457	macrolide antibiotic	ARO:0000000	aro_obo
cethromycin	ARO:3007455	macrolide antibiotic	ARO:0000000	aro_obo
chalcomycin	ARO:3001222	macrolide antibiotic	ARO:0000000	aro_obo
clarithromycin	ARO:0000065	macrolide antibiotic	ARO:0000000	aro_obo
dirithromycin	ARO:3000176	macrolide antibiotic	ARO:0000000	aro_obo
erythromycin	ARO:0000006	macrolide antibiotic	ARO:0000000	aro_obo
gamithromycin	ARO:3007761	macrolide antibiotic	ARO:0000000	aro_obo
josamycin	ARO:3001221	macrolide antibiotic	ARO:0000000	aro_obo
kitasamycin	ARO:3001227	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin	ARO:3007763	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin a	ARO:3007764	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin b	ARO:3007765	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin c	ARO:3007766	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin d	ARO:3007767	macrolide antibiotic	ARO:0000000	aro_obo
megalomycin	ARO:3001225	macrolide antibiotic	ARO:0000000	aro_obo
methymycin	ARO:3001232	macrolide antibiotic	ARO:0000000	aro_obo
midecamycin	ARO:3001223	macrolide antibiotic	ARO:0000000	aro_obo
mycaminosyltylonolide	ARO:3007570	macrolide antibiotic	ARO:0000000	aro_obo
mycinamicin	ARO:3001224	macrolide antibiotic	ARO:0000000	aro_obo
narbomycin	ARO:3001226	macrolide antibiotic	ARO:0000000	aro_obo
neutramycin	ARO:3009156	macrolide antibiotic	ARO:0000000	aro_obo
niddamycin	ARO:3001230	macrolide antibiotic	ARO:0000000	aro_obo
oleandomycin	ARO:3000867	macrolide antibiotic	ARO:0000000	aro_obo
pikromycin	ARO:3001233	macrolide antibiotic	ARO:0000000	aro_obo
rokitamycin	ARO:3003701	macrolide antibiotic	ARO:0000000	aro_obo
rosaramicin	ARO:3001229	macrolide antibiotic	ARO:0000000	aro_obo
roxithromycin	ARO:0000027	macrolide antibiotic	ARO:0000000	aro_obo
solithromycin	ARO:3003972	macrolide antibiotic	ARO:0000000	aro_obo
spiramycin	ARO:3000156	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon	ARO:3007786	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon a	ARO:3007787	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon b	ARO:3007788	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon d	ARO:3007789	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon f	ARO:3007790	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon g	ARO:3007791	macrolide antibiotic	ARO:0000000	aro_obo
telithromycin	ARO:0000057	macrolide antibiotic	ARO:0000000	aro_obo
tildipirosin	ARO:3007762	macrolide antibiotic	ARO:0000000	aro_obo
tilmicosin	ARO:3007472	macrolide antibiotic	ARO:0000000	aro_obo
tulathromycin	ARO:3007760	macrolide antibiotic	ARO:0000000	aro_obo
tylosin	ARO:3000145	macrolide antibiotic	ARO:0000000	aro_obo
tylvalosin	ARO:3007796	macrolide antibiotic	ARO:0000000	aro_obo
moenomycin a1	ARO:3000697	moenomycin antibiotic	ARO:3000687	aro_obo
aztreonam	ARO:3000550	monobactam	ARO:0000004	aro_obo
bal30072	ARO:3003821	monobactam	ARO:0000004	aro_obo
carumonam	ARO:3004728	monobactam	ARO:0000004	aro_obo
lys228	ARO:3004729	monobactam	ARO:0000004	aro_obo
