canonical_drug	canonical_class	aro_accession	category	source
colistin	lipopeptide antibiotic		antibiotic	aro_obo
colistin a	lipopeptide antibiotic		antibiotic	aro_obo
colistin b	lipopeptide antibiotic		antibiotic	aro_obo
daptomycin	lipopeptide antibiotic		antibiotic	ncbi
fengycin	lipopeptide antibiotic		antibiotic	aro_obo
malacidin a	lipopeptide antibiotic		antibiotic	aro_obo
polymyxin antibiotic	lipopeptide antibiotic		antibiotic	aro_obo
polymyxin b	lipopeptide antibiotic		antibiotic	aro_obo
polymyxin b1	lipopeptide antibiotic		antibiotic	aro_obo
polymyxin b2	lipopeptide antibiotic		antibiotic	aro_obo
polymyxin b3	lipopeptide antibiotic		antibiotic	aro_obo
polymyxin b4	lipopeptide antibiotic		antibiotic	aro_obo
ramoplanin	lipopeptide antibiotic		antibiotic	aro_obo
fidaxomicin	macrocyclic antibiotic		antibiotic	aro_obo
selamectin	macrocyclic antibiotic		antibiotic	aro_obo
aplasmomycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
azalomycin f	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
azithromycin	macrolide antibiotic	ARO:0000000	antibiotic	resfinder
boromycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
brefeldin a	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
carbomycin	macrolide antibiotic	ARO:0000000	antibiotic	resfinder
carrimycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
cethromycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
chalcomycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
clarithromycin	macrolide antibiotic	ARO:0000000	antibiotic	ncbi
dirithromycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
erythromycin	macrolide antibiotic	ARO:0000000	antibiotic	resfinder
gamithromycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
josamycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
kitasamycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
macrolide	macrolide antibiotic	ARO:0000000	antibiotic	ncbi
marinomycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
marinomycin a	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
marinomycin b	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
marinomycin c	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
marinomycin d	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
megalomycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
methymycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
midecamycin	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
mycaminosyltylonolide	macrolide antibiotic	ARO:0000000	antibiotic	aro_obo
